scope,seed,run_id,actor_id,driver_id,archetype,fleet,total_checkpoints,ready,queued,suppressed,expired,superseded,offered,displayed,accepted,dismissed,expanded,execution_observed,attached,unattached,first_checkpoint_min,first_attached_step,median_steps_between_attached,trip_transition_count,two_route_legs,topics,actions,final_payout_vnd,final_trips_done
seed,1000,1000-B-sp+al-all-c9beb6ef2,80,d-80,P7,swap,1,0,0,1,0,0,0,0,0,0,0,1,0,1,942.0,,,21,1,shift_timing,ONLINE,162321,7
seed,1000,1000-B-sp+al-all-c9beb6ef2,81,d-81,P7,swap,3,2,0,1,0,0,0,0,0,0,0,2,2,1,927.0,22,70.0,42,1,bonus_eligibility;energy;shift_timing,ONLINE;PROTECT_ELIGIBILITY;SWAP,326231,12
seed,1000,1000-B-sp+al-all-c9beb6ef2,82,d-82,P7,swap,1,0,0,1,0,0,0,0,0,0,0,1,0,1,926.0,,,36,1,shift_timing,ONLINE,245516,12
seed,1000,1000-B-sp+al-all-c9beb6ef2,83,d-83,P7,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,908.0,24,,56,1,energy;shift_timing,ONLINE;SWAP,384968,17
seed,1000,1000-B-sp+al-all-c9beb6ef2,84,d-84,P7,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,932.0,65,,45,1,energy;shift_timing,ONLINE;SWAP,336189,15
seed,1000,1000-B-sp+al-all-c9beb6ef2,85,d-85,P7,swap,3,2,0,1,0,0,0,0,0,0,0,3,2,1,910.0,30,36.0,33,1,bonus_eligibility;energy;shift_timing,ONLINE;PROTECT_ELIGIBILITY;SWAP,173657,10
seed,1000,1000-B-sp+al-all-c9beb6ef2,86,d-86,P7,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,944.0,32,,48,1,energy;shift_timing,ONLINE;SWAP,341767,15
seed,1000,1000-B-sp+al-all-c9beb6ef2,87,d-87,P7,swap,2,1,0,1,0,0,0,0,0,0,0,2,1,1,901.0,51,,35,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,188082,11
seed,1000,1000-B-sp+al-all-c9beb6ef2,88,d-88,P7,swap,1,0,0,1,0,0,0,0,0,0,0,1,0,1,912.0,,,36,1,shift_timing,ONLINE,314899,12
seed,1000,1000-B-sp+al-all-c9beb6ef2,89,d-89,P7,swap,2,1,0,1,0,0,0,0,0,0,0,1,1,1,928.0,5,,47,1,bonus_eligibility;shift_timing,ONLINE;PROTECT_ELIGIBILITY,342475,14
