actor_id,archetype,existing_bonus,existing_checkpoints,existing_expired,existing_online_suppressed,existing_ready,existing_rest,existing_suppressed,existing_swap_now,fleet,has_two_route_legs,run_id,seed,shift_duration_min,shift_end_min,shift_start_min
62,P5,1,3,0,1,2,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,495.076,1432.766,937.69
63,P6,0,1,0,1,0,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,524.064,858.566,334.502
64,P6,1,3,0,1,2,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,465.039,765.039,300.0
65,P6,1,3,0,1,2,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,452.398,772.684,320.286
66,P6,0,2,0,1,1,1,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,449.102,796.976,347.874
67,P6,0,2,0,1,1,1,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,469.313,810.691,341.378
68,P6,1,4,0,1,3,1,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,506.75,814.545,307.795
69,P6,0,2,0,1,1,1,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,503.212,824.499,321.287
70,P6,1,2,0,1,1,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,507.242,845.231,337.989
71,P6,0,2,0,1,1,1,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,462.848,806.507,343.66
72,P6,1,3,0,1,2,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,423.254,723.254,300.0
73,P6,0,2,0,1,1,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,440.737,740.737,300.0
74,P6,0,1,0,1,0,0,1,0,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,471.834,806.995,335.161
75,P6,1,3,0,1,2,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,438.631,769.776,331.145
76,P6,1,3,0,1,2,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,526.273,850.03,323.757
77,P6,0,2,0,1,1,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,446.222,746.222,300.0
78,P6,0,2,0,1,1,0,1,1,swap,1,1001-B-sp+al-all-c9beb6ef2,1001,459.347,759.347,300.0
