seed,run_id,actor_id,archetype,fleet,checkpoints,ready_checkpoints,checkpoint_topics,current_future_distinct,swap_soon_candidates,checkpoint_execution_links,max_topic_revisions,trips,payout_vnd,points,soc_end_pct,online_min,rest_min,charge_min,idle_min,longest_inferred_idle_min,long_idle_blocks_30m,empty_share,high_empty_share_40pct,soc_skips,repeated_soc_skips,swap_started,swap_failed,swap_done,swap_wait_max_min,battery_stranded,rest_events,cancel_after_accept,decline_economics,decline_behavior,mission_completed,newbie_events,ratings,recap_inputs_present,energy_event_count
1000,1000-B-sp+al-all-c9beb6ef2,71,P6,swap,8,1,rest;shift_timing,6,6,7,7,7,108428,50,98.438,466.622,64.097,5.55,230.0,40.0,4,0.4994,True,0,False,1,0,1,0.0,0,3,1,0,0,0,0,5,True,2
1000,1000-B-sp+al-all-c9beb6ef2,72,P6,swap,9,0,shift_timing,6,4,9,9,7,132456,45,83.467,461.839,56.43,9.708,196.0,40.0,3,0.5512,True,0,False,1,0,1,0.0,0,2,0,0,0,1,0,7,True,2
1000,1000-B-sp+al-all-c9beb6ef2,73,P6,swap,10,1,rest;shift_timing,6,4,9,9,6,139868,35,75.422,549.094,153.626,12.857,198.0,40.0,3,0.4582,True,0,False,1,0,1,0.0,0,5,1,0,0,1,0,4,True,2
1000,1000-B-sp+al-all-c9beb6ef2,74,P6,swap,11,3,bonus_eligibility;energy;rest;shift_timing,5,4,9,8,8,179346,55,64.29,474.565,80.921,54.579,102.0,40.0,1,0.412,True,1,False,1,0,1,53.0,0,2,0,0,0,1,0,6,True,3
1000,1000-B-sp+al-all-c9beb6ef2,75,P6,swap,11,3,bonus_eligibility;energy;shift_timing,7,5,10,8,11,216606,60,20.657,450.688,69.633,9.185,104.0,20.0,0,0.4184,True,1,False,1,0,1,0.0,0,2,0,1,0,1,0,9,True,3
1000,1000-B-sp+al-all-c9beb6ef2,76,P6,swap,12,0,shift_timing,9,8,12,12,12,277118,70,82.051,544.426,137.624,12.697,112.0,40.0,1,0.5039,True,1,False,2,0,2,0.0,0,4,0,0,0,1,0,10,True,5
1000,1000-B-sp+al-all-c9beb6ef2,77,P6,swap,10,3,bonus_eligibility;energy;shift_timing,4,2,9,7,6,150083,35,68.399,464.096,84.66,8.869,172.0,42.0,3,0.4527,True,0,False,1,0,1,0.0,0,2,0,0,1,1,0,6,True,2
1000,1000-B-sp+al-all-c9beb6ef2,78,P6,swap,9,1,rest;shift_timing,5,3,9,8,4,79732,30,89.098,487.602,104.323,14.526,234.0,40.0,4,0.4959,True,0,False,1,0,1,0.0,0,3,0,0,0,0,0,2,True,2
1000,1000-B-sp+al-all-c9beb6ef2,79,P7,swap,9,0,shift_timing,6,6,9,9,14,266139,80,98.124,524.337,24.143,48.194,192.0,40.0,2,0.4276,True,0,False,2,0,2,43.0,0,1,0,2,1,1,0,9,True,4
1000,1000-B-sp+al-all-c9beb6ef2,80,P7,swap,10,0,shift_timing,7,7,10,10,7,162321,30,42.829,497.053,0.0,33.977,240.0,40.0,5,0.5147,True,0,False,1,0,1,26.0,0,0,0,0,0,0,0,7,True,2
1000,1000-B-sp+al-all-c9beb6ef2,81,P7,swap,11,2,bonus_eligibility;energy;shift_timing,8,6,10,9,12,326231,65,98.124,512.029,0.0,80.511,154.0,40.0,2,0.462,True,0,False,3,1,2,5.0,0,0,2,2,0,2,0,8,True,6
1000,1000-B-sp+al-all-c9beb6ef2,82,P7,swap,11,0,shift_timing,8,8,11,11,12,245516,40,23.723,513.853,33.611,38.908,190.0,40.0,4,0.4521,True,0,False,1,0,1,34.0,0,1,0,0,0,1,0,9,True,2
1000,1000-B-sp+al-all-c9beb6ef2,83,P7,swap,11,1,energy;shift_timing,7,5,11,10,17,384968,85,23.009,525.886,25.634,13.594,94.0,40.0,1,0.4399,True,0,False,2,0,2,0.0,0,1,2,1,0,1,0,12,True,4
1000,1000-B-sp+al-all-c9beb6ef2,84,P7,swap,11,1,energy;shift_timing,7,5,11,10,15,336189,65,91.898,492.4,0.0,29.173,158.0,40.0,2,0.3666,False,0,False,2,0,2,23.0,0,0,0,0,0,1,0,12,True,4
1000,1000-B-sp+al-all-c9beb6ef2,85,P7,swap,13,2,bonus_eligibility;energy;shift_timing,8,8,13,11,10,173657,40,47.389,506.622,28.713,7.105,254.0,44.371,4,0.4994,True,0,False,1,0,1,0.0,0,1,1,0,1,0,0,9,True,2
1000,1000-B-sp+al-all-c9beb6ef2,86,P7,swap,10,1,energy;shift_timing,7,5,10,9,15,341767,80,63.973,495.093,0.0,39.115,112.0,40.0,1,0.4403,True,1,False,2,0,2,24.0,0,0,1,0,0,1,0,13,True,5
1000,1000-B-sp+al-all-c9beb6ef2,87,P7,swap,11,1,bonus_eligibility;shift_timing,9,7,11,10,11,188082,65,100.0,537.098,38.016,30.303,198.0,42.0,4,0.5287,True,1,False,2,0,2,19.0,0,1,0,1,0,0,0,9,True,5
1000,1000-B-sp+al-all-c9beb6ef2,88,P7,swap,12,0,shift_timing,9,9,12,12,12,314899,70,60.871,527.561,39.914,65.982,110.0,40.0,1,0.4302,True,0,False,2,0,2,47.0,0,1,0,0,0,1,0,9,True,4
1000,1000-B-sp+al-all-c9beb6ef2,89,P7,swap,12,1,bonus_eligibility;shift_timing,8,7,11,11,14,342475,70,36.405,507.432,34.119,16.321,110.0,40.0,1,0.4521,True,0,False,2,0,2,0.0,0,1,2,1,0,1,0,11,True,4
1001,1001-B-sp+al-all-c9beb6ef2,0,P1,charge,5,0,shift_timing,2,0,4,5,5,110684,25,34.06,200.307,27.353,0.0,32.0,14.0,0,0.3162,False,0,False,0,0,0,0.0,0,1,0,0,0,0,0,5,True,0
1001,1001-B-sp+al-all-c9beb6ef2,1,P1,charge,4,0,shift_timing,1,0,3,4,13,293863,70,35.012,246.919,25.324,0.0,14.0,3.111,0,0.3628,False,0,False,0,0,0,0.0,0,1,0,0,0,2,0,10,True,0
1001,1001-B-sp+al-all-c9beb6ef2,2,P1,charge,5,0,shift_timing,2,0,5,5,10,185488,40,24.383,300.993,44.849,0.0,46.0,16.0,0,0.3904,False,0,False,0,0,0,0.0,0,1,3,0,1,0,0,9,True,0
1001,1001-B-sp+al-all-c9beb6ef2,3,P1,charge,4,0,shift_timing,2,0,4,4,4,77705,30,61.857,203.106,26.445,0.0,42.0,10.349,0,0.3686,False,0,False,0,0,0,0.0,0,1,0,1,0,0,0,3,True,0
1001,1001-B-sp+al-all-c9beb6ef2,4,P1,charge,4,0,shift_timing,2,0,3,4,7,124359,50,49.357,266.291,32.366,0.0,74.0,22.0,0,0.4057,True,0,False,0,0,0,0.0,0,1,0,0,1,0,0,6,True,0
1001,1001-B-sp+al-all-c9beb6ef2,5,P1,charge,5,0,shift_timing,2,0,5,5,7,136401,50,48.435,238.443,43.858,0.0,10.0,2.873,0,0.3327,False,0,False,0,0,0,0.0,0,1,0,0,0,0,0,6,True,0
